index;x;y;z
238;-0.042217;-0.055162;-0.091748
239;-0.043982;-0.070467;-0.107309
240;-0.033233;-0.055488;-0.085783
241;-0.018283;-0.028741;-0.061485
242;0.012088;0.012718;-0.018406
243;0.022499;0.039289;0.020871
244;0.032661;0.057310;0.052324
245;0.030327;0.054237;0.066516
246;0.017558;0.031916;0.070008
247;0.010519;0.016515;0.072066
248;0.009202;-0.000867;0.071073
249;0.009465;-0.001423;0.058612
250;0.008912;-0.008266;0.039746
251;0.005868;-0.007662;0.026035
252;-0.002583;-0.003279;0.004416
253;-0.020044;-0.003524;-0.022377
254;-0.037343;-0.009809;-0.052161
255;-0.042270;-0.026698;-0.083214
256;-0.042889;-0.042976;-0.104979
257;-0.024193;-0.040783;-0.085041
258;-0.001646;-0.019249;-0.050180
259;0.009495;0.001368;-0.022571
260;0.031439;0.025483;0.017484
261;0.042919;0.036122;0.042705
262;0.032714;0.035003;0.061155
263;0.017182;0.031931;0.071140
264;0.000455;0.021176;0.070190
265;-0.007990;0.012188;0.062317
266;-0.002230;0.008172;0.056205
267;0.012698;0.010452;0.061272
268;0.021446;0.016172;0.056065
269;0.012842;0.008376;0.031365
270;-0.000910;-0.003566;-0.000414
271;-0.016773;-0.018686;-0.031844
272;-0.044375;-0.052621;-0.090060
273;-0.053772;-0.069672;-0.123568
274;-0.044725;-0.059688;-0.124910
275;-0.029954;-0.034914;-0.088759
276;-0.000564;0.014607;-0.032261
277;0.028231;0.043975;0.008471
278;0.053206;0.058059;0.046158
279;0.053245;0.048633;0.063309
280;0.032917;0.025335;0.071850
281;0.011870;0.008921;0.069668
282;-0.011988;-0.011271;0.055701
283;-0.021815;-0.021455;0.039928
284;-0.012020;-0.016733;0.026691
285;0.002167;0.014121;0.048864
286;0.021342;0.054532;0.074285
287;0.021158;0.054122;0.056963
288;0.010913;0.014626;0.000696
289;0.000742;-0.024141;-0.042851
290;-0.021577;-0.061094;-0.083228
291;-0.041748;-0.072856;-0.102395
292;-0.052754;-0.058340;-0.103887
293;-0.039613;-0.037106;-0.085995
294;-0.005039;0.007284;-0.036681
295;0.022786;0.039811;0.005805
296;0.032859;0.057961;0.045071
297;0.026773;0.054292;0.057562
298;0.016697;0.026434;0.056459
299;0.016285;0.004949;0.055865
300;0.011931;-0.015721;0.054522
